series,cond,n,hit2,hitH,e2,med_t,med_nb,med_mae,r24_mean,delta_hitH,q
BTCUSDT-15m,rng_q=4,2337,0.4030808729139923,0.8267008985879333,0.7633718442447582,3,0.0,17.6052392232395,3.2731531111197563,-0.10568832023344632,0.0
BTCUSDT-15m,reg=1,7497,0.5659597172202214,0.9111644657863145,0.8694144324396426,2,0.0,10.580770569604145,3.556707932865524,-0.006035188491991472,0.2474
BTCUSDT-15m,reg=2,5728,0.5831005586592178,0.9167248603351955,0.8851256983240223,2,0.0,13.61224766184657,10.680415858201023,0.005154831211552358,0.3124
BTCUSDT-15m,C1_wick8_trend_up,4981,0.5370407548685003,0.8847620959646657,0.8419995984742019,2,0.0,14.509140758677967,7.835326691613713,-0.04645101088993009,
BTCUSDT-15m,C2_wick8_sma_above,7124,0.543935991016283,0.8965468837731612,0.855277933745087,2,0.0,12.198695625507849,8.280172051722612,-0.03719783853927794,
BTCUSDT-15m,C3_wick8_quietvol,4788,0.6307435254803676,0.9425647451963242,0.9139515455304928,1,0.0,9.850173674114782,3.5122489015217715,0.04498998654315722,
BTCUSDT-15m,C4_wick8_bear_regime,48,0.6458333333333334,0.9583333333333334,0.9375,1,0.0,12.87958059440831,-36.449798682962324,0.0447017782479473,
BTCUSDT-15m,C6_wick910_dipbuy,3012,0.5604249667994687,0.9249667994687915,0.8854581673306773,2,0.0,11.266159899886905,8.74782342731865,0.014450733256522685,
BTCUSDT-1h,uwd=7,337,0.6172106824925816,0.9347181008902077,0.9198813056379822,1,0.0,22.93998898880529,18.578274324829277,0.013648087680168008,0.4225
BTCUSDT-1h,uwd=8,1010,0.6059405940594059,0.9495049504950495,0.9237623762376238,1,0.0,22.371510353743638,35.030939972924756,0.038676925017342434,0.0004
BTCUSDT-1h,uwd=9,1010,0.5455445544554456,0.9217821782178218,0.8801980198019802,2,0.0,27.396936564645696,27.2759435879662,-0.000935443862857599,0.9259
BTCUSDT-1h,uwd=10,1008,0.4722222222222222,0.8918650793650794,0.8630952380952381,2,0.0,28.351041145167244,23.3205014588995,-0.043646163740563404,0.0001
BTCUSDT-1h,uwd_ge=8,3028,0.5412813738441216,0.9210700132100397,0.8890356671070013,2,0.0,25.81500867369359,28.296998730200507,-0.013648087680168008,0.4225
BTCUSDT-1h,uwd_ge=9,2018,0.5089197224975223,0.9068384539147671,0.8716551040634292,2,0.0,27.619815042142125,28.40749906180581,-0.03896703977491367,0.0001
BTCUSDT-1h,uwd_ge=10,1008,0.4722222222222222,0.8918650793650794,0.8630952380952381,2,0.0,28.351041145167244,23.3205014588995,-0.043646163740563404,0.0001
BTCUSDT-1h,trend=0,625,0.5856,0.9296,0.9088,2,0.0,29.96121215443947,16.489903008722333,0.008797080291970794,0.4716
BTCUSDT-1h,trend=1,662,0.5725075528700906,0.93202416918429,0.9093655589123867,2,0.0,19.088016967126194,4.501940060388292,0.011935378951215658,0.3794
BTCUSDT-1h,trend=2,743,0.5558546433378196,0.9488559892328399,0.9205921938088829,2,0.0,19.77577257478918,23.42202165961163,0.03390556970576131,0.0062
BTCUSDT-1h,trend=3,677,0.5228951255539144,0.9113737075332349,0.8921713441654358,2,0.0,28.174790018074397,48.04062919877927,-0.013849506752479424,0.3077
BTCUSDT-1h,trend=4,658,0.5091185410334347,0.8875379939209727,0.8267477203647416,2,0.0,36.00402469615463,38.69054604054448,-0.043381843537468434,0.0006
