entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
MKT,1.0,uwd79,TIME,12,PB_PB,586,12.21,-12.4,35.6,0.846,0.318639
MKT,1.0,uwd79,TIME,12,PB_MKT,586,4.71,-19.9,28.1,0.846,0.700289
MKT,1.0,uwd79,TIME,12,MKT_MKT,586,1.21,-23.4,24.6,0.846,0.920997
MKT,1.0,uwd79,TIME,24,PB_PB,586,14.38,-14.7,41.8,0.894,0.31836
MKT,1.0,uwd79,TIME,24,PB_MKT,586,6.88,-22.2,34.3,0.894,0.633144
MKT,1.0,uwd79,TIME,24,MKT_MKT,586,3.38,-25.7,30.8,0.894,0.814679
MKT,1.0,uwd79,TIME,48,PB_PB,586,34.82,4.3,62.9,0.932,0.019797
MKT,1.0,uwd79,TIME,48,PB_MKT,586,27.32,-3.2,55.4,0.932,0.067509
MKT,1.0,uwd79,TIME,48,MKT_MKT,586,23.82,-6.7,51.9,0.932,0.110924
MKT,1.0,prevBear,NOSL,0,PB_PB,373,56.86,18.9,90.0,0.941,0.001714
MKT,1.0,prevBear,NOSL,0,PB_MKT,373,49.36,11.4,82.5,0.941,0.006486
MKT,1.0,prevBear,NOSL,0,MKT_MKT,373,45.86,7.9,79.0,0.941,0.011435
MKT,1.0,prevBear,TIME,12,PB_PB,373,36.05,4.7,63.9,0.869,0.01696
MKT,1.0,prevBear,TIME,12,PB_MKT,373,28.55,-2.8,56.4,0.869,0.05864
